X,Y,TreeType,dbh_cm
328948.866375,5530235.483,Honey Locust,38
328970.404,5530230.442,Spruce,8
329001.461,5530228.133,Honey Locust,31
329164.597,5530204.094,Horsechestnut,82
329153.484,5530205.848,Horsechestnut,61
329309.866,5530198.412,Fir,51
329294.067,5529759.286,Maple,64
328913.377,5529570.259,Honey Locust,34
329261.56,5529554.175,Oak,30
329268.473,5529552.865,Oak,20
329318.591,5529546.787,Douglas Fir,10
328776.063,5529200.751,Maple,20
328775.635,5529212.312,Maple,15
328776.733,5529250.064,Elm,102
330756.824,5526785.088,Plane-Sycamore,8
330758.426,5526767.002,Plane-Sycamore,8
330759.665,5526750.21,Plane-Sycamore,8
330759.887,5526742.153,Plane-Sycamore,8
330760.627,5526733.724,Plane-Sycamore,8
327731.18,5528489.729,Honey Locust,39
327731.326,5528500.388,Honey Locust,43
327732.73,5528549.576,Honey Locust,45
327733.985,5528561.022,Honey Locust,37
327733.874,5528569.852,Honey Locust,36
327734.61,5528579.118,Honey Locust,43
327735.338,5528588.404,Honey Locust,37
327627.012,5528882.53,Ash,5
327628.195,5528926.935,Ash,5
327629.433,5528958.506,Ash,5
327630.286,5528973.81,Ash,5
327630.57,5528989.129,Ash,5
327630.836,5529003.236,Ash,5
327631.916,5529024.839,Ash,5
326945.935,5528506.607,Spruce,8
326935.808,5528503.42,Spruce,5
326933.275,5528506.652,Spruce,10
326941.908,5528505.72,Maple,20
327425.126,5527958.036,Ash,43
327432.951,5527946.867,Ash,54
327445.997,5527928.702,Lilac,11
327495.148,5527898.763,Pine,48
327441.447,5527956.299,Ash,54
327431.66,5527969.091,Ash,64
327410.273,5527998.948,Ash,51
327347.613,5528143.331,Lilac,10
327346.391,5528123.444,Lilac,11
327345.068,5528099.533,Lilac,8
327347.769,5528080.177,Lilac,9
327373.544,5528029.807,Lilac,12
327395.817,5528017.703,Ash,52
327381.208,5528038.636,Ash,61
327365.022,5528062.185,Ash,49
327358.904,5528082.096,Ash,47
327357.411,5528110.227,Ash,42
327348.564,5528180.596,Lilac,14
327349.311,5528210.803,Ash,14
327350.423,5528233.351,Ash,13
327346.927,5528157.216,Lilac,13
326935.21,5528788.374,Linden-Basswood,5
326935.191,5528798.845,Linden-Basswood,5
326935.289,5528808.555,Linden-Basswood,5
327343.514,5527951.069,Ash,57
327369.317,5527973.066,Ash,26
327386.715,5527982.993,Ash,57
327387.042,5528000.328,Mountain Ash/Whitebeam,16
327369.795,5527986.099,Ash,54
327340.975,5527966.282,Ash,54
327329.154,5527959.358,Ash,39
327394.176,5528711.344,Ash,20
327385.293,5528712.112,Ash,30
327361.556,5528712.603,Ash,30
327353.067,5528713.138,Ash,20
327331.644,5528713.509,Ash,25
327315.489,5528714.075,Ash,30
327263.34,5528698.649,Ash,30
327257.049,5528682.034,Ash,30
327256.927,5528671.834,Ash,30
327255.546,5528636.404,Ash,5
327255.135,5528623.444,Ash,20
327267.448,5528646.366,Ash,20
327268.922,5528666.884,Ash,25
327270.643,5528685.267,Ash,18
327317.053,5528700.239,Ash,18
327358.512,5528698.838,Ash,25
327376.128,5528698.168,Ash,23
327392.978,5528697.115,Ash,25
327420.575,5528696.537,Ash,30
327444.151,5528694.681,Ash,5
327463.705,5528694.176,Ash,30
327485.005,5528694.662,Ash,25
327509.128,5528692.85,Ash,5
327527.073,5528691.76,Ash,25
327537.221,5528691.929,Ash,25
327553.161,5528705.788,Ash,15
327540.522,5528705.557,Ash,15
327474.098,5528708.556,Ash,30
327564.531,5528689.527,Ash,20
327582.216,5528677.895,Ash,20
327597.694,5528662.793,Ash,25
327600.563,5528541.299,Maple,8
327608.132,5528550.026,Ash,25
327611.422,5528552.454,Magnolia,3
327615.684,5528556.616,Magnolia,3
327618.447,5528558.891,Ash,25
327626.923,5528567.125,Ash,25
327634.608,5528575.379,Ash,25
327651.084,5528608.156,Sumac,25
327639.327,5528637.94,Ash,20
327622.688,5528654.587,Ash,30
327606.365,5528671.476,Ash,3
327582.006,5528695.16,Ash,25
327573.261,5528704.335,Ash,25
327574.059,5528741.298,Ash,20
327585.97,5528761.889,Spruce,36
327560.728,5528735.465,Ash,30
327560.115,5528726.648,Ash,25
326750.9,5528535.164,Honey Locust,8
326732.175,5528528.578,Honey Locust,8
326731.105,5528507.985,Honey Locust,8
326790.478,5528376.227,Birch,3
326790.602,5528378.085,Birch,13
326789.802,5528380.379,Birch,10
326789.887,5528382.144,Birch,10
326789.998,5528383.997,Birch,3
326790.507,5528388.055,Birch,5
326790.776,5528390.446,Birch,20
326810.919,5528580.006,Elm,76
326872.61,5528617.141,Elm,91
327039.008,5528610.853,Elm,61
326985.065,5527997.456,Ash,43
326966.583,5527998.365,Ash,31
326943.37,5527999.275,Ash,34
326929.92,5528000.183,Ash,39
326918.692,5527984.389,Ash,42
326939.031,5527983.81,Ash,38
326969.518,5527983.086,Ash,35
326980.91,5527983.174,Ash,35
326661.589,5528147.531,Honey Locust,5
326667.83,5528142.12,Honey Locust,8
326623.992,5528181.301,Honey Locust,8
326617.047,5528193.748,Honey Locust,5
326615.627,5528199.807,Honey Locust,5
326616.009,5528205.377,Maple,8
326603.049,5528208.757,Ash,20
326622.044,5528165.255,Honey Locust,10
326630.396,5528158.438,Honey Locust,10
326642.903,5528146.317,Honey Locust,10
327087.541,5527994.323,Ash,47
327052.775,5527994.108,Ash,65
327033.707,5527996.034,Ash,36
327021.701,5527994.576,Ash,31
327013.506,5527981.833,Ash,39
327022.822,5527980.4,Ash,48
327059.544,5527979.061,Ash,48
327103.22,5527978.811,Ash,34
327110.684,5527978.294,Ash,39
327129.524,5527973.652,Ash,47
327153.265,5527965.484,Ash,45
327171.944,5527954.828,Ash,37
327191.495,5527941.279,Ash,50
327197.898,5527934.32,Ash,56
327212.726,5527919.599,Ash,57
327227.264,5527900.013,Ash,60
327239.35,5527883.332,Ash,56
327250.036,5527866.801,Ash,59
327262.457,5527853.121,Ash,43
327267.64,5527843.889,Ash,52
327279.84,5527827.744,Ash,51
327292.223,5527809.736,Ash,56
327310.43,5527785.651,Ash,33
327317.731,5527774.463,Ash,50
327330.953,5527756.756,Ash,49
327334.828,5527750.956,Ash,55
327360.558,5527741.735,Ash,39
